Taxon	Family	Genus	Species	Subunit (string option)	Subunit Value	ID	TaxonOriginal	Ic	FN	KP	SF	UN	YG	Tm	AO	Kh	YK	CW	WI	CS	CE	AW	AN	CC	HL	EP	GW	GE	A	B	C	D	E	N
C. turczaninovii	CAMPANULACEAE	Campanula	turczaninovii			840101	C. turczaninovii	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
C. lasiocarpa (subsp. lasiocarpa)	CAMPANULACEAE	Campanula	lasiocarpa	(subsp.	lasiocarpa)	840102	C. lasiocarpa (subsp. lasiocarpa)	-	-	-	-	-	-	-	-	-	-	-	-	s	r	f	f	-	-	-	-	-	-	-	-	R	F	F
C. rotundifolia	CAMPANULACEAE	Campanula	rotundifolia			840103	C. rotundifolia	r	f	f	r	f	f	s	s	f	r	r	-	-	*	*	-	r	s	-	f	f	-	-	R	F	F	F
C. rotundifolia subsp. rotundifolia	CAMPANULACEAE	Campanula	rotundifolia	subsp.	rotundifolia	840103a	C. rotundifolia subsp. rotundifolia	r	?	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	-	-	-	-	R	F
C. rotundifolia subsp. groenlandica	CAMPANULACEAE	Campanula	rotundifolia	subsp.	groenlandica	840103b	C. rotundifolia subsp. groenlandica	-	r	?	-	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	f	f	-	-	-	S	F	F
C. rotundifolia subsp. gieseckiana	CAMPANULACEAE	Campanula	rotundifolia	subsp.	gieseckiana	840103c	C. rotundifolia subsp. gieseckiana	-	f	f	r	f	f	s	?	-	-	-	-	-	-	-	-	r	s	-	f	f	-	-	R	F	F	F
C. rotundifolia subsp. langsdorffiana	CAMPANULACEAE	Campanula	rotundifolia	subsp.	langsdorffiana	840103d	C. rotundifolia subsp. langsdorffiana	-	-	-	-	-	-	-	s	f	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
C. uniflora	CAMPANULACEAE	Campanula	uniflora			840104	C. uniflora	r	-	-	s	r	-	-	-	-	-	s	f	s	f	s	f	s	f	s	f	f	-	R	F	F	F	S
C. tschuktschorum	CAMPANULACEAE	Campanula	tschuktschorum			840105	C. tschuktschorum	-	-	-	-	-	-	-	-	-	-	r	s	-	f	-	-	-	-	-	-	-	-	-	R	S	F	R
C. glomerata	CAMPANULACEAE	Campanula	glomerata			840106	C. glomerata	-	*	-	-	-	-	*	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	S
C. aurita	CAMPANULACEAE	Campanula	aurita			840107	C. aurita	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	b	S
L. kalmii	CAMPANULACEAE	Lobelia	kalmii			840201	L. kalmii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	S
M. trifoliata	MENYANTHACEAE	Menyanthes	trifoliata			850101	M. trifoliata	f	f	f	-	r	s	s	-	r	?	s	-	r	-	s	s	r	s	-	s	r	-	-	-	R	F	F
S. virgaurea subsp. virgaurea	ASTERACEAE	Solidago	virgaurea	subsp.	virgaurea	860101a	S. virgaurea subsp. virgaurea	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
S. virgaurea subsp. lapponica	ASTERACEAE	Solidago	virgaurea	subsp.	lapponica	860101b	S. virgaurea subsp. lapponica	-	f	f	-	r	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F	F
S. spiraefolia	ASTERACEAE	Solidago	spiraefolia			860102	S. spiraefolia	-	-	-	-	-	-	-	-	?	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	R
S. dahurica	ASTERACEAE	Solidago	dahurica			860103	S. dahurica	-	-	-	-	-	b	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
S. multiradiata	ASTERACEAE	Solidago	multiradiata			860104	S. multiradiata	-	-	-	-	-	-	-	-	-	-	-	-	-	f	f	f	s	s	-	-	-	-	-	-	S	F	F
S. multiradiata subsp. multiradiata	ASTERACEAE	Solidago	multiradiata	subsp.	multiradiata	860104a	S. multiradiata subsp. multiradiata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	f	s	s	-	-	-	-	-	-	S	F	F
S. multiradiata subsp. arctica	ASTERACEAE	Solidago	multiradiata	subsp.	arctica	860104b	S. multiradiata subsp. arctica	-	-	-	-	-	-	-	-	-	-	-	-	-	f	f	-	-	-	-	-	-	-	-	-	S	F	F
S. simplex	ASTERACEAE	Solidago	simplex			860105	S. simplex	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	F
S. macrophylla	ASTERACEAE	Solidago	macrophylla			860106	S. macrophylla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
S. uliginosa	ASTERACEAE	Solidago	uliginosa			860107	S. uliginosa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
S. lepida	ASTERACEAE	Solidago	lepida			860108	S. lepida	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	F
E. graminifolia	ASTERACEAE	Euthamia	graminifolia			860201	E. graminifolia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	F
A. alpinus subsp. vierhapperi	ASTERACEAE	Aster	alpinus	subsp.	vierhapperi	860301a	A. alpinus subsp. vierhapperi	-	-	-	-	-	-	r	-	s	-	f	f	s	r	r	r	b	-	-	-	-	-	-	?	R	F	F
E. sibirica var. subintegerrima	ASTERACEAE	Eurybia	sibirica	var.	subintegerrima	860401a	E. sibirica var. subintegerrima	-	r	f	-	s	r	r	r	r	r	?	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S	S
E. sibirica var. gigantea	ASTERACEAE	Eurybia	sibirica	var.	gigantea	860401b	E. sibirica var. gigantea	-	-	-	-	-	-	-	-	-	?	s	-	f	f	f	f	r	-	-	-	-	-	-	-	R	F	F
E. radula	ASTERACEAE	Eurybia	radula			860402	E. radula	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	F
S. pygmaeum	ASTERACEAE	Symphyotrichum	pygmaeum			860501	S. pygmaeum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	R	R	-
S. yukonense	ASTERACEAE	Symphyotrichum	yukonense			860502	S. yukonense	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	R
S. ericoides var. pansum	ASTERACEAE	Symphyotrichum	ericoides	var.	pansum	860503a	S. ericoides var. pansum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	b	F
S. falcatum	ASTERACEAE	Symphyotrichum	falcatum			860504	S. falcatum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	b	F
S. spathulatum	ASTERACEAE	Symphyotrichum	spathulatum			860505	S. spathulatum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	b	F
S. lanceolatum	ASTERACEAE	Symphyotrichum	lanceolatum			860506	S. lanceolatum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	F
S. boreale	ASTERACEAE	Symphyotrichum	boreale			860507	S. boreale	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
S. puniceum	ASTERACEAE	Symphyotrichum	puniceum			860508	S. puniceum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
S. ciliolatum	ASTERACEAE	Symphyotrichum	ciliolatum			860509	S. ciliolatum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
T. pannonicum subsp. tripolium	ASTERACEAE	Tripolium	pannonicum	subsp.	tripolium	860601a	T. pannonicum subsp. tripolium	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
E. compositus	ASTERACEAE	Erigeron	compositus			860701	E. compositus	-	-	-	-	-	-	-	-	-	-	r	f	-	-	r	r	s	r	f	s	f	?	R	F	F	F	F
E. purpuratus	ASTERACEAE	Erigeron	purpuratus			860702	E. purpuratus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	-	-	-	-	-	-	-	-	?	S	S
E. denalii	ASTERACEAE	Erigeron	denalii			860703	E. denalii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	S
E. silenifolius	ASTERACEAE	Erigeron	silenifolius			860704	E. silenifolius	-	-	-	-	-	r	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R	F
E. hyperboreus	ASTERACEAE	Erigeron	hyperboreus			860705	E. hyperboreus	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	s	-	-	-	-	-	-	-	-	R	S	S
E. koraginensis	ASTERACEAE	Erigeron	koraginensis			860706	E. koraginensis	-	-	-	-	r	-	?	r	s	-	s	f	r	r	-	-	-	-	-	-	-	-	-	S	S	S	S
E. porsildii	ASTERACEAE	Erigeron	porsildii			860707	E. porsildii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	r	-	-	-	-	-	-	-	R	S	S
E. muirii	ASTERACEAE	Erigeron	muirii			860708	E. muirii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	S	S	S	R
E. yukonensis	ASTERACEAE	Erigeron	yukonensis			860709	E. yukonensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	R	S
E. humilis	ASTERACEAE	Erigeron	humilis			860710	E. humilis	r	-	-	s	-	-	-	-	-	-	f	-	f	f	s	f	s	s	-	s	f	-	R	F	F	F	F
E. uniflorus	ASTERACEAE	Erigeron	uniflorus			860711	E. uniflorus	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F
E. eriocephalus	ASTERACEAE	Erigeron	eriocephalus			860712	E. eriocephalus	-	-	-	r	s	f	f	s	f	r	f	-	-	-	r	f	f	f	s	s	f	?	S	F	F	F	S
E. eriocalyx	ASTERACEAE	Erigeron	eriocalyx			860713	E. eriocalyx	-	-	-	-	s	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F	F
E. alpiniformis	ASTERACEAE	Erigeron	alpiniformis			860714	E. alpiniformis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	-	-	-	R	F	-
E. borealis	ASTERACEAE	Erigeron	borealis			860715	E. borealis	f	s	f	-	s	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F	F
E. acris subsp. acris	ASTERACEAE	Erigeron	acris	subsp.	acris	860716a	E. acris subsp. acris	-	-	r	-	-	-	r	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
E. acris subsp. politus	ASTERACEAE	Erigeron	acris	subsp.	politus	860716b	E. acris subsp. politus	-	s	r	-	r	X	r	?	r	?	r	-	r	-	b	r	r	r	-	-	-	-	-	-	-	S	F
E. acris subsp. kamtschaticus	ASTERACEAE	Erigeron	acris	subsp.	kamtschaticus	860716c	E. acris subsp. kamtschaticus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	?	-	-	-	-	-	-	-	-	-	R	F
E. lonchophyllus	ASTERACEAE	Erigeron	lonchophyllus			860717	E. lonchophyllus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	R	F
E. elatus	ASTERACEAE	Erigeron	elatus			860718	E. elatus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	s	-	-	-	-	-	-	-	S	F
E. peregrinus (subsp. peregrinus)	ASTERACEAE	Erigeron	peregrinus	(subsp.	peregrinus)	860719	E. peregrinus (subsp. peregrinus)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	F
E. glabellus subsp. pubescens	ASTERACEAE	Erigeron	glabellus	subsp.	pubescens	860720a	E. glabellus subsp. pubescens	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	b	r	-	-	-	-	-	-	-	-	R	S
E. cespitosus	ASTERACEAE	Erigeron	cespitosus			860721	E. cespitosus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	-	-	-	-	-	-	-	-	-	?	S
E. ochroleucus	ASTERACEAE	Erigeron	ochroleucus			860722	E. ochroleucus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	R
E. hyssopifolius	ASTERACEAE	Erigeron	hyssopifolius			860723	E. hyssopifolius	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	-	-	-	-	-	-	R	F
A. villifera	ASTERACEAE	Antennaria	villifera			860801	A. villifera	-	b	r	-	f	f	s	s	f	-	f	-	r	r	-	-	-	-	-	-	-	-	-	R	F	F	F
A. pulcherrima	ASTERACEAE	Antennaria	pulcherrima			860802	A. pulcherrima	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	b	s	-	-	-	-	-	-	-	R	F
A. neglecta	ASTERACEAE	Antennaria	neglecta			860803	A. neglecta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
A. dioica	ASTERACEAE	Antennaria	dioica			860804	A. dioica	-	f	f	-	s	s	?	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	R	F	F
A. microphylla	ASTERACEAE	Antennaria	microphylla			860805	A. microphylla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	r	-	-	-	-	-	-	-	R	F
A. rosea subsp. rosea	ASTERACEAE	Antennaria	rosea	subsp.	rosea	860806a	A. rosea subsp. rosea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	r	-	-	-	-	-	-	-	S	F
A. rosea subsp. confinis	ASTERACEAE	Antennaria	rosea	subsp.	confinis	860806b	A. rosea subsp. confinis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	b	S
A. rosea subsp. pulvinata	ASTERACEAE	Antennaria	rosea	subsp.	pulvinata	860806c	A. rosea subsp. pulvinata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	r	-	s	r	-	-	?	S	S	F
A. hansii	ASTERACEAE	Antennaria	hansii			860807	A. hansii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	f	r	-	-	?	S	S	-
A. intermedia	ASTERACEAE	Antennaria	intermedia			860808	A. intermedia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	-	-	?	S	S	-
A. media subsp. compacta	ASTERACEAE	Antennaria	media	subsp.	compacta	860809a	A. media subsp. compacta	-	-	-	-	-	-	-	-	-	-	-	-	-	s	r	s	s	r	s	s	r	-	R	S	S	S	R
A. media subsp. fusca	ASTERACEAE	Antennaria	media	subsp.	fusca	860809b	A. media subsp. fusca	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	R
A. alpina subsp. alpina	ASTERACEAE	Antennaria	alpina	subsp.	alpina	860810a	A. alpina subsp. alpina	-	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F
A. alpina subsp. canescens	ASTERACEAE	Antennaria	alpina	subsp.	canescens	860810b	A. alpina subsp. canescens	f	-	-	-	-	-	-	-	-	-	-	-	?	?	r	r	r	s	-	f	f	-	-	?	F	F	S
A. alpina subsp. porsildii	ASTERACEAE	Antennaria	alpina	subsp.	porsildii	860810c	A. alpina subsp. porsildii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	?	-	s	r	-	-	R	S	R	R
A. crymophila	ASTERACEAE	Antennaria	crymophila			860811	A. crymophila	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	b	R
A. friesiana subsp. friesiana	ASTERACEAE	Antennaria	friesiana	subsp.	friesiana	860812a	A. friesiana subsp. friesiana	-	-	-	-	-	-	-	-	r	r	f	r	s	f	r	f	s	s	s	f	-	?	R	F	F	F	S
A. friesiana subsp. pseudoisolepis	ASTERACEAE	Antennaria	friesiana	subsp.	pseudoisolepis	860812b	A. friesiana subsp. pseudoisolepis	-	-	-	-	-	-	-	-	-	-	s	r	-	?	-	-	-	-	-	-	-	-	-	-	R	S	R
A. friesiana subsp. beringensis	ASTERACEAE	Antennaria	friesiana	subsp.	beringensis	860812c	A. friesiana subsp. beringensis	-	-	-	-	-	-	-	-	-	-	-	f	r	f	-	-	-	-	-	-	-	-	-	R	F	F	-
A. friesiana subsp. alaskana	ASTERACEAE	Antennaria	friesiana	subsp.	alaskana	860812d	A. friesiana subsp. alaskana	-	-	-	-	-	-	-	-	-	-	-	-	-	?	f	f	-	-	-	-	-	-	-	-	F	F	F
A. friesiana subsp. neoalaskana	ASTERACEAE	Antennaria	friesiana	subsp.	neoalaskana	860812e	A. friesiana subsp. neoalaskana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	?	-	-	-	-	-	-	-	?	R	S
A. monocephala subsp. monocephala	ASTERACEAE	Antennaria	monocephala	subsp.	monocephala	860813a	A. monocephala subsp. monocephala	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	r	r	-	-	-	-	-	-	-	R	S	F
A. monocephala subsp. angustata	ASTERACEAE	Antennaria	monocephala	subsp.	angustata	860813b	A. monocephala subsp. angustata	-	-	-	-	-	-	-	-	-	-	s	-	r	s	r	s	s	s	-	s	-	-	-	?	S	S	R
G. uliginosum	ASTERACEAE	Gnaphalium	uliginosum			860901	G. uliginosum	-	r?	r	-	-	-	-	-	-	-	-	-	-	r	**	-	-	-	-	r	-	-	-	-	R	R	S
O. sylvatica	ASTERACEAE	Omalotheca	sylvatica			861001	O. sylvatica	s	*	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
O. norvegica	ASTERACEAE	Omalotheca	norvegica			861002	O. norvegica	f	f	s	-	r	r	-	-	-	-	-	-	-	-	-	-	-	s	-	s	s	-	-	-	R	F	F
O. supina	ASTERACEAE	Omalotheca	supina			861003	O. supina	f	f	f	-	s	r	-	-	-	-	-	-	-	-	-	-	-	s	-	s	f	-	-	R	F	F	F
L. kurilense	ASTERACEAE	Leontopodium	kurilense			861101	L. kurilense	-	-	-	-	-	-	-	-	-	-	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	R	S
A. angustifolia subsp. angustifolia s. str.	ASTERACEAE	Arnica				861201a	A. angustifolia subsp. angustifolia s. str.	-	-	-	s	-	-	-	-	-	-	-	-	-	-	s	s	f	s	r	f	r	-	?	S	F	F	F
A. angustifolia subsp. alpina	ASTERACEAE	Arnica	angustifolia	subsp.	alpina	861201b	A. angustifolia subsp. alpina	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
A. angustifolia subsp. iljinii	ASTERACEAE	Arnica	angustifolia	subsp.	iljinii	861201c	A. angustifolia subsp. iljinii	-	-	r	-	s	s	f	s	f	r	f	f	s	f	-	-	-	-	-	-	-	-	-	R	S	F	F
A. angustifolia subsp. attenuata	ASTERACEAE	Arnica	angustifolia	subsp.	attenuata	861201d	A. angustifolia subsp. attenuata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	s	-	-	-	-	-	-	R	F	F
A. angustifolia subsp. sornborgeri	ASTERACEAE	Arnica	angustifolia	subsp.	sornborgeri	861201e	A. angustifolia subsp. sornborgeri	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
A. angustifolia taxon plantaginea	ASTERACEAE	Arnica	angustifolia	taxon	plantaginea	861201f	A. angustifolia taxon plantaginea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
A. angustifolia subsp. tomentosa	ASTERACEAE	Arnica	angustifolia	subsp.	tomentosa	861201g	A. angustifolia subsp. tomentosa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	R	S
A. lonchophylla (subsp. lonchophylla)	ASTERACEAE	Arnica	lonchophylla	(subsp.	lonchophylla)	861202	A. lonchophylla (subsp. lonchophylla)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	r	-	-	-	-	-	-	-	R	F
A. frigida	ASTERACEAE	Arnica	frigida			861203	A. frigida	-	-	-	-	-	-	-	-	-	r	f	f	f	f	f	f	s	-	-	-	-	-	-	?	S	F	F
A. unalaschkensis	ASTERACEAE	Arnica	unalaschkensis			861204	A. unalaschkensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	S
A. lessingii	ASTERACEAE	Arnica	lessingii			861205	A. lessingii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	f	f	-	-	-	-	-	-	-	-	R	F	F
A. chamissonis subsp. chamissonis	ASTERACEAE	Arnica	chamissonis	subsp.	chamissonis	861206a	A. chamissonis subsp. chamissonis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	S
A. chamissonis subsp. foliosa	ASTERACEAE	Arnica	chamissonis	subsp.	foliosa	861206b	A. chamissonis subsp. foliosa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
B. hyperborea	ASTERACEAE	Bidens	hyperborea			861301	B. hyperborea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
A. millefolium subsp. millefolium	ASTERACEAE	Achillea	millefolium	subsp.	millefolium	861401a	A. millefolium subsp. millefolium	f	f	f	**	s	r	r	-	*	-	-	-	-	-	-	-	-	-	-	*	*	-	-	**	**	F	F
A. millefolium subsp. borealis	ASTERACEAE	Achillea	millefolium	subsp.	borealis	861401b	A. millefolium subsp. borealis	-	-	-	-	-	-	-	-	-	-	r	-	-	r	f	f	s	s	-	r	r	-	-	?	F	F	F
A. millefolium subsp. lanulosa	ASTERACEAE	Achillea	millefolium	subsp.	lanulosa	861401c	A. millefolium subsp. lanulosa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	-	r	-	*	-	-	-	-	-	R	F
A. ptarmica	ASTERACEAE	Achillea	ptarmica			861402	A. ptarmica	*	*	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	*	F
A. salicifolia	ASTERACEAE	Achillea	salicifolia			861403	A. salicifolia	-	-	r	-	?	r	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
A. alpina subsp. camtschatica	ASTERACEAE	Achillea	alpina	subsp.	camtschatica	861404a	A. alpina subsp. camtschatica	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	-	R	F
A. alpina subsp. multiflora	ASTERACEAE	Achillea	alpina	subsp.	multiflora	861404b	A. alpina subsp. multiflora	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	r	*	*	-	-	-	-	-	-	-	R	F
T. maritimum subsp. maritimum	ASTERACEAE	Tripleurospermum	maritimum	subsp.	maritimum	861501a	T. maritimum subsp. maritimum	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	F
T. maritimum subsp. subpolare	ASTERACEAE	Tripleurospermum	maritimum	subsp.	subpolare	861501b	T. maritimum subsp. subpolare	f	*	*	**	*	r	r	-	r	r	r	-	-	-	-	-	-	-	-	*	-	-	-	-	-	R	F
T. maritimum subsp. phaeocephalum	ASTERACEAE	Tripleurospermum	maritimum	subsp.	phaeocephalum	861501c	T. maritimum subsp. phaeocephalum	r	f	f	**	f	s	f	r	s	s	f	r	s	s	s	s	s	f	-	r	r	-	-	R	F	F	F
T. tetragonospermum	ASTERACEAE	Tripleurospermum	tetragonospermum			861502	T. tetragonospermum	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	R
T. inodorum	ASTERACEAE	Tripleurospermum	inodorum			861503	T. inodorum	**	*	**	-	**	**	-	-	-	-	-	-	-	-	-	-	-	-	-	**	-	-	-	-	-	*	*
L. suaveolens	ASTERACEAE	Lepidotheca	suaveolens			861601	L. suaveolens	*	*	*	-	*	-	-	-	-	-	-	-	-	*	*	*	*	*	-	*	-	-	-	-	-	*	*
C. mongolicum	ASTERACEAE	Chrysanthemum	mongolicum			861701	C. mongolicum	-	-	-	-	-	-	s	s	f	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S	F
A. arcticum subsp. arcticum	ASTERACEAE	Arctanthemum	arcticum	subsp.	arcticum	861801a	A. arcticum subsp. arcticum	-	-	-	-	-	-	-	-	-	-	-	-	s	f	f	-	-	-	-	-	-	-	-	-	R	F	F
A. arcticum subsp. polare	ASTERACEAE	Arctanthemum	arcticum	subsp.	polare	861801b	A. arcticum subsp. polare	-	s	s	-	r	r	-	-	r	-	s	r	-	s	s	r	r	f	-	-	-	-	-	-	R	F	F
H. integrifolia	ASTERACEAE	Hulteniella	integrifolia			861901	H. integrifolia	-	-	-	-	-	-	-	-	-	-	-	-	-	f	s	f	f	s	r	-	-	-	R	F	F	F	F
L. vulgare	ASTERACEAE	Leucanthemum	vulgare			862001	L. vulgare	*	*	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	**	-	-	-	-	-	*	F
T. vulgare subsp. vulgare	ASTERACEAE	Tanacetum	vulgare	subsp.	vulgare	862101a	T. vulgare subsp. vulgare	*	*	*	-	-	-	**	-	-	-	-	-	-	-	-	-	-	-	-	**	-	-	-	-	-	*	F
T. vulgare subsp. boreale	ASTERACEAE	Tanacetum	vulgare	subsp.	boreale	862101b	T. vulgare subsp. boreale	-	-	-	-	-	-	r	-	r	r	f	-	r	-	-	-	-	-	-	-	-	-	-	-	R	F	F
T. bipinnatum	ASTERACEAE	Tanacetum	bipinnatum			862102	T. bipinnatum	-	r	f	-	s	f	s	s	f	r	s	-	r	s	s	r	-	-	-	-	-	-	-	-	S	F	F
T. huronense	ASTERACEAE	Tanacetum	huronense			862103	T. huronense	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	-	-	-	-	-	-	-	R	S
A. tanacetifolia	ASTERACEAE	Artemisia	tanacetifolia			862201	A. tanacetifolia	-	-	-	-	-	-	?	r	-	-	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	R	S
A. arctisibirica	ASTERACEAE	Artemisia	arctisibirica			862202	A. arctisibirica	-	-	-	-	-	-	r	-	r	-	r	r	r	r	-	-	-	-	-	-	-	-	-	-	R	S	R
A. norvegica var. uralensis	ASTERACEAE	Artemisia	norvegica	var.	uralensis	862203a	A. norvegica var. uralensis	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
A. subarctica	ASTERACEAE	Artemisia	subarctica			862204	A. subarctica	-	-	-	-	-	-	-	r	f	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F
